Date,Account,Account_Description,Debit,Credit,Reference,Memo
2023-01-02,4010,Revenue – Hospitality,0.0,532920.58,AR-2023-0360,
2023-01-02,1100,Accounts Receivable,383958.07,0.0,AR-2023-0788,
2023-01-02,4030,Revenue – Catering,0.0,383958.07,AR-2023-0788,
2023-01-02,5000,COGS – Food,114646.02,0.0,INV-2023-0102,OTC & consumer health replenishment
2023-01-02,2000,Accounts Payable,0.0,114646.02,INV-2023-0102,
2023-01-02,6100,Rent Expense,1256571.39,0.0,INV-2023-1086,Warehouse lease — Qassim WH
2023-01-02,2000,Accounts Payable,0.0,1256571.39,INV-2023-1086,
2023-01-03,1100,Accounts Receivable,425415.28,0.0,AR-2023-0516,
2023-01-03,4020,Revenue – Government,0.0,425415.28,AR-2023-0516,
2023-01-03,6110,Utilities,420721.65,0.0,INV-2023-0001,Electricity & water — Riyadh North DC
2023-01-03,2000,Accounts Payable,0.0,420721.65,INV-2023-0001,
2023-01-03,5010,COGS – Beverages,167376.95,0.0,INV-2023-0399,Antibiotics + analgesics — bulk SKUs
2023-01-03,2000,Accounts Payable,0.0,167376.95,INV-2023-0399,
2023-01-03,5020,COGS – Household,79379.49,0.0,INV-2023-0559,
2023-01-03,2000,Accounts Payable,0.0,79379.49,INV-2023-0559,
2023-01-03,6200,Marketing & Advertising,45335.36,0.0,INV-2023-1110,
2023-01-03,2000,Accounts Payable,0.0,45335.36,INV-2023-1110,
2023-01-04,1100,Accounts Receivable,418719.31,0.0,AR-2023-0531,
2023-01-04,4020,Revenue – Government,0.0,418719.31,AR-2023-0531,
2023-01-04,1100,Accounts Receivable,712022.03,0.0,AR-2023-0798,
2023-01-04,4030,Revenue – Catering,0.0,712022.03,AR-2023-0798,
2023-01-04,5010,COGS – Beverages,145911.36,0.0,INV-2023-0344,
2023-01-04,2000,Accounts Payable,0.0,145911.36,INV-2023-0344,
2023-01-04,5010,COGS – Beverages,100342.2,0.0,INV-2023-0416,Antibiotics + analgesics — bulk SKUs
2023-01-04,2000,Accounts Payable,0.0,100342.2,INV-2023-0416,
2023-01-04,5020,COGS – Household,138719.1,0.0,INV-2023-0624,Antibiotics + analgesics — bulk SKUs
2023-01-04,2000,Accounts Payable,0.0,138719.1,INV-2023-0624,
2023-01-04,6100,Rent Expense,1132941.79,0.0,INV-2023-1074,Warehouse lease — Hail WH
2023-01-04,2000,Accounts Payable,0.0,1132941.79,INV-2023-1074,
2023-01-04,6100,Rent Expense,819986.59,0.0,INV-2023-1098,Warehouse lease — Riyadh South DC
2023-01-04,2000,Accounts Payable,0.0,819986.59,INV-2023-1098,
2023-01-05,1100,Accounts Receivable,651226.09,0.0,AR-2023-0789,
2023-01-05,4030,Revenue – Catering,0.0,651226.09,AR-2023-0789,
2023-01-05,6110,Utilities,424415.1,0.0,INV-2023-0002,Electricity & water — Riyadh South DC
2023-01-05,2000,Accounts Payable,0.0,424415.1,INV-2023-0002,
2023-01-05,6110,Utilities,373189.37,0.0,INV-2023-0003,Electricity & water — Qassim WH
2023-01-05,2000,Accounts Payable,0.0,373189.37,INV-2023-0003,
2023-01-05,5010,COGS – Beverages,98787.52,0.0,INV-2023-0431,
2023-01-05,2000,Accounts Payable,0.0,98787.52,INV-2023-0431,
2023-01-06,1100,Accounts Receivable,359178.75,0.0,AR-2023-0357,
2023-01-06,4010,Revenue – Hospitality,0.0,359178.75,AR-2023-0357,
2023-01-06,1100,Accounts Receivable,411407.35,0.0,AR-2023-0764,
2023-01-06,4030,Revenue – Catering,0.0,411407.35,AR-2023-0764,
2023-01-06,1100,Accounts Receivable,402728.47,0.0,AR-2023-0791,
2023-01-06,4030,Revenue – Catering,0.0,402728.47,AR-2023-0791,
2023-01-06,5020,COGS – Household,179557.9,0.0,INV-2023-0697,OTC & consumer health replenishment
2023-01-06,2000,Accounts Payable,0.0,179557.9,INV-2023-0697,
2023-01-06,6300,Logistics – 3PL,127352.82,0.0,INV-2023-0955,Line-haul & distribution services
2023-01-06,2000,Accounts Payable,0.0,127352.82,INV-2023-0955,
2023-01-06,6300,Logistics – 3PL,268638.97,0.0,INV-2023-1037,Line-haul & distribution services
2023-01-06,2000,Accounts Payable,0.0,268638.97,INV-2023-1037,
2023-01-07,1100,Accounts Receivable,305886.27,0.0,AR-2023-0014,
2023-01-07,4000,Revenue – Modern Trade,0.0,305886.27,AR-2023-0014,
2023-01-07,1100,Accounts Receivable,224442.83,0.0,AR-2023-0025,
2023-01-07,4000,Revenue – Modern Trade,0.0,224442.83,AR-2023-0025,
2023-01-07,1100,Accounts Receivable,428149.0,0.0,AR-2023-0800,
2023-01-07,4030,Revenue – Catering,0.0,428149.0,AR-2023-0800,
2023-01-07,5000,COGS – Food,79323.66,0.0,INV-2023-0250,OTC & consumer health replenishment
2023-01-07,2000,Accounts Payable,0.0,79323.66,INV-2023-0250,
2023-01-08,1100,Accounts Receivable,148249.4,0.0,AR-2023-0001,
2023-01-08,4000,Revenue – Modern Trade,0.0,148249.4,AR-2023-0001,
2023-01-08,1100,Accounts Receivable,627991.14,0.0,AR-2023-0011,
2023-01-08,4000,Revenue – Modern Trade,0.0,627991.14,AR-2023-0011,
2023-01-08,1100,Accounts Receivable,637802.4,0.0,AR-2023-0019,
2023-01-08,4000,Revenue – Modern Trade,0.0,637802.4,AR-2023-0019,
2023-01-08,1100,Accounts Receivable,382849.64,0.0,AR-2023-0518,
2023-01-08,4020,Revenue – Government,0.0,382849.64,AR-2023-0518,
2023-01-08,1100,Accounts Receivable,496483.39,0.0,AR-2023-0784,
2023-01-08,4030,Revenue – Catering,0.0,496483.39,AR-2023-0784,
2023-01-08,5020,COGS – Household,68613.37,0.0,INV-2023-0569,Bulk SKUs — monthly replenishment
2023-01-08,2000,Accounts Payable,0.0,68613.37,INV-2023-0569,
2023-01-08,5020,COGS – Household,158659.95,0.0,INV-2023-0702,
2023-01-08,2000,Accounts Payable,0.0,158659.95,INV-2023-0702,
2023-01-08,5020,COGS – Household,79432.06,0.0,INV-2023-0758,
2023-01-08,2000,Accounts Payable,0.0,79432.06,INV-2023-0758,
2023-01-08,6220,Professional Fees,83901.96,0.0,INV-2023-1152,
2023-01-08,2000,Accounts Payable,0.0,83901.96,INV-2023-1152,
2023-01-08,5020,COGS – Household,178301.2,0.0,INV-2023-1192,"Blister & carton packaging PKG-1101 — 23,156 units @ SAR 7.70 (CT-2023-466)"
2023-01-08,2000,Accounts Payable,0.0,178301.2,INV-2023-1192,
2023-01-09,1100,Accounts Receivable,405455.48,0.0,AR-2023-0519,
2023-01-09,4020,Revenue – Government,0.0,405455.48,AR-2023-0519,
2023-01-09,1100,Accounts Receivable,138532.62,0.0,AR-2023-0525,
2023-01-09,4020,Revenue – Government,0.0,138532.62,AR-2023-0525,
2023-01-09,1100,Accounts Receivable,486792.75,0.0,AR-2023-0803,
2023-01-09,4030,Revenue – Catering,0.0,486792.75,AR-2023-0803,
2023-01-09,6110,Utilities,412246.24,0.0,INV-2023-0004,Electricity & water — Hail WH
2023-01-09,2000,Accounts Payable,0.0,412246.24,INV-2023-0004,
2023-01-09,6110,Utilities,406271.0,0.0,INV-2023-0005,Electricity & water — HQ Riyadh Olaya
2023-01-09,2000,Accounts Payable,0.0,406271.0,INV-2023-0005,
2023-01-09,5000,COGS – Food,139821.0,0.0,INV-2023-0104,
2023-01-09,2000,Accounts Payable,0.0,139821.0,INV-2023-0104,
2023-01-09,5000,COGS – Food,102921.27,0.0,INV-2023-0180,Bulk SKUs — monthly replenishment
2023-01-09,2000,Accounts Payable,0.0,102921.27,INV-2023-0180,
2023-01-09,5010,COGS – Beverages,167306.84,0.0,INV-2023-0436,Antibiotics + analgesics — bulk SKUs
2023-01-09,2000,Accounts Payable,0.0,167306.84,INV-2023-0436,
2023-01-09,5010,COGS – Beverages,130526.95,0.0,INV-2023-0504,OTC & consumer health replenishment
2023-01-09,2000,Accounts Payable,0.0,130526.95,INV-2023-0504,
2023-01-09,5030,COGS – Cosmetics,166121.54,0.0,INV-2023-0851,
2023-01-09,2000,Accounts Payable,0.0,166121.54,INV-2023-0851,
2023-01-10,1100,Accounts Receivable,895693.55,0.0,AR-2023-0006,
2023-01-10,4000,Revenue – Modern Trade,0.0,895693.55,AR-2023-0006,
2023-01-10,1100,Accounts Receivable,1071545.79,0.0,AR-2023-0008,
2023-01-10,4000,Revenue – Modern Trade,0.0,1071545.79,AR-2023-0008,
2023-01-10,1100,Accounts Receivable,1074158.52,0.0,AR-2023-0359,
2023-01-10,4010,Revenue – Hospitality,0.0,1074158.52,AR-2023-0359,
2023-01-10,1100,Accounts Receivable,945335.03,0.0,AR-2023-0365,
2023-01-10,4010,Revenue – Hospitality,0.0,945335.03,AR-2023-0365,
2023-01-10,1100,Accounts Receivable,1074158.52,0.0,AR-2023-0366,
2023-01-10,4010,Revenue – Hospitality,0.0,1074158.52,AR-2023-0366,
2023-01-10,1100,Accounts Receivable,419418.76,0.0,AR-2023-0512,
2023-01-10,4020,Revenue – Government,0.0,419418.76,AR-2023-0512,
2023-01-10,1100,Accounts Receivable,939844.48,0.0,AR-2023-0779,
2023-01-10,4030,Revenue – Catering,0.0,939844.48,AR-2023-0779,
2023-01-10,1100,Accounts Receivable,332293.19,0.0,AR-2023-0780,
2023-01-10,4030,Revenue – Catering,0.0,332293.19,AR-2023-0780,
2023-01-10,5000,COGS – Food,63140.4,0.0,INV-2023-0162,OTC & consumer health replenishment
2023-01-10,2000,Accounts Payable,0.0,63140.4,INV-2023-0162,
2023-01-10,5000,COGS – Food,140555.7,0.0,INV-2023-0265,
2023-01-10,2000,Accounts Payable,0.0,140555.7,INV-2023-0265,
2023-01-10,5020,COGS – Household,174179.17,0.0,INV-2023-0667,
2023-01-10,2000,Accounts Payable,0.0,174179.17,INV-2023-0667,
2023-01-11,1100,Accounts Receivable,257687.98,0.0,AR-2023-0521,
2023-01-11,4020,Revenue – Government,0.0,257687.98,AR-2023-0521,
2023-01-11,1100,Accounts Receivable,371095.71,0.0,AR-2023-0524,
2023-01-11,4020,Revenue – Government,0.0,371095.71,AR-2023-0524,
2023-01-11,5000,COGS – Food,63730.82,0.0,INV-2023-0080,Antibiotics + analgesics — bulk SKUs
2023-01-11,2000,Accounts Payable,0.0,63730.82,INV-2023-0080,
2023-01-11,5000,COGS – Food,89967.93,0.0,INV-2023-0107,
2023-01-11,2000,Accounts Payable,0.0,89967.93,INV-2023-0107,
2023-01-11,5020,COGS – Household,137857.63,0.0,INV-2023-0657,
2023-01-11,2000,Accounts Payable,0.0,137857.63,INV-2023-0657,
2023-01-11,5020,COGS – Household,102820.0,0.0,INV-2023-0708,Bulk SKUs — monthly replenishment
2023-01-11,2000,Accounts Payable,0.0,102820.0,INV-2023-0708,
2023-01-11,6300,Logistics – 3PL,312740.53,0.0,INV-2023-0994,Line-haul & distribution services
2023-01-11,2000,Accounts Payable,0.0,312740.53,INV-2023-0994,
2023-01-11,6300,Logistics – 3PL,371141.2,0.0,INV-2023-1030,Line-haul & distribution services
2023-01-11,2000,Accounts Payable,0.0,371141.2,INV-2023-1030,
2023-01-12,1100,Accounts Receivable,663904.31,0.0,AR-2023-0009,
2023-01-12,4000,Revenue – Modern Trade,0.0,663904.31,AR-2023-0009,
2023-01-12,1100,Accounts Receivable,270363.14,0.0,AR-2023-0355,
2023-01-12,4010,Revenue – Hospitality,0.0,270363.14,AR-2023-0355,
2023-01-12,1100,Accounts Receivable,261042.97,0.0,AR-2023-0804,
2023-01-12,4030,Revenue – Catering,0.0,261042.97,AR-2023-0804,
2023-01-12,6300,Logistics – 3PL,297091.36,0.0,INV-2023-0954,Line-haul & distribution services
2023-01-12,2000,Accounts Payable,0.0,297091.36,INV-2023-0954,
2023-01-12,5100,Freight Inwards,42254.71,0.0,INV-2023-1182,
2023-01-12,2000,Accounts Payable,0.0,42254.71,INV-2023-1182,
2023-01-13,1100,Accounts Receivable,819199.23,0.0,AR-2023-0003,
2023-01-13,4000,Revenue – Modern Trade,0.0,819199.23,AR-2023-0003,
2023-01-13,1100,Accounts Receivable,204694.1,0.0,AR-2023-0015,
2023-01-13,4000,Revenue – Modern Trade,0.0,204694.1,AR-2023-0015,
2023-01-13,1100,Accounts Receivable,307015.77,0.0,AR-2023-0024,
2023-01-13,4000,Revenue – Modern Trade,0.0,307015.77,AR-2023-0024,
2023-01-13,5010,COGS – Beverages,167628.8,0.0,INV-2023-0445,Antibiotics + analgesics — bulk SKUs
2023-01-13,2000,Accounts Payable,0.0,167628.8,INV-2023-0445,
2023-01-14,1100,Accounts Receivable,172870.98,0.0,AR-2023-0768,
2023-01-14,4030,Revenue – Catering,0.0,172870.98,AR-2023-0768,
2023-01-14,5000,COGS – Food,104585.7,0.0,INV-2023-0159,Antibiotics + analgesics — bulk SKUs
2023-01-14,2000,Accounts Payable,0.0,104585.7,INV-2023-0159,
2023-01-14,5000,COGS – Food,172635.24,0.0,INV-2023-0305,OTC & consumer health replenishment
2023-01-14,2000,Accounts Payable,0.0,172635.24,INV-2023-0305,
2023-01-14,5020,COGS – Household,89749.39,0.0,INV-2023-0693,OTC & consumer health replenishment
2023-01-14,2000,Accounts Payable,0.0,89749.39,INV-2023-0693,
2023-01-14,5020,COGS – Household,94092.95,0.0,INV-2023-0719,
2023-01-14,2000,Accounts Payable,0.0,94092.95,INV-2023-0719,
2023-01-15,1100,Accounts Receivable,340192.25,0.0,AR-2023-0016,
2023-01-15,4000,Revenue – Modern Trade,0.0,340192.25,AR-2023-0016,
2023-01-15,1100,Accounts Receivable,93147.65,0.0,AR-2023-0026,
2023-01-15,4000,Revenue – Modern Trade,0.0,93147.65,AR-2023-0026,
2023-01-15,1100,Accounts Receivable,135373.45,0.0,AR-2023-0527,
2023-01-15,4020,Revenue – Government,0.0,135373.45,AR-2023-0527,
2023-01-15,1100,Accounts Receivable,502740.07,0.0,AR-2023-0769,
2023-01-15,4030,Revenue – Catering,0.0,502740.07,AR-2023-0769,
2023-01-15,1100,Accounts Receivable,532297.41,0.0,AR-2023-0773,
2023-01-15,4030,Revenue – Catering,0.0,532297.41,AR-2023-0773,
2023-01-15,1100,Accounts Receivable,609758.64,0.0,AR-2023-0782,
2023-01-15,4030,Revenue – Catering,0.0,609758.64,AR-2023-0782,
2023-01-15,1100,Accounts Receivable,456315.09,0.0,AR-2023-0785,
2023-01-15,4030,Revenue – Catering,0.0,456315.09,AR-2023-0785,
2023-01-16,1100,Accounts Receivable,210354.75,0.0,AR-2023-0012,
2023-01-16,4000,Revenue – Modern Trade,0.0,210354.75,AR-2023-0012,
2023-01-16,1100,Accounts Receivable,215032.99,0.0,AR-2023-0029,
2023-01-16,4000,Revenue – Modern Trade,0.0,215032.99,AR-2023-0029,
2023-01-16,1100,Accounts Receivable,195774.04,0.0,AR-2023-0361,
2023-01-16,4010,Revenue – Hospitality,0.0,195774.04,AR-2023-0361,
2023-01-16,1100,Accounts Receivable,407769.97,0.0,AR-2023-0363,
2023-01-16,4010,Revenue – Hospitality,0.0,407769.97,AR-2023-0363,
2023-01-16,1100,Accounts Receivable,351210.04,0.0,AR-2023-0364,
2023-01-16,4010,Revenue – Hospitality,0.0,351210.04,AR-2023-0364,
2023-01-16,5030,COGS – Cosmetics,78239.55,0.0,INV-2023-0784,Bulk SKUs — monthly replenishment
2023-01-16,2000,Accounts Payable,0.0,78239.55,INV-2023-0784,
2023-01-17,1100,Accounts Receivable,326529.37,0.0,AR-2023-0362,
2023-01-17,4010,Revenue – Hospitality,0.0,326529.37,AR-2023-0362,
2023-01-17,1100,Accounts Receivable,145747.42,0.0,AR-2023-0368,
2023-01-17,4010,Revenue – Hospitality,0.0,145747.42,AR-2023-0368,
2023-01-17,1100,Accounts Receivable,1060724.6,0.0,AR-2023-0767,
2023-01-17,4030,Revenue – Catering,0.0,1060724.6,AR-2023-0767,
2023-01-17,1100,Accounts Receivable,525968.69,0.0,AR-2023-0799,
2023-01-17,4030,Revenue – Catering,0.0,525968.69,AR-2023-0799,
2023-01-17,5010,COGS – Beverages,133472.35,0.0,INV-2023-0376,OTC & consumer health replenishment
2023-01-17,2000,Accounts Payable,0.0,133472.35,INV-2023-0376,
2023-01-17,5010,COGS – Beverages,87708.0,0.0,INV-2023-0401,
2023-01-17,2000,Accounts Payable,0.0,87708.0,INV-2023-0401,
2023-01-18,1100,Accounts Receivable,659877.97,0.0,AR-2023-0004,
2023-01-18,4000,Revenue – Modern Trade,0.0,659877.97,AR-2023-0004,
2023-01-18,1100,Accounts Receivable,355635.07,0.0,AR-2023-0005,
2023-01-18,4000,Revenue – Modern Trade,0.0,355635.07,AR-2023-0005,
2023-01-18,1100,Accounts Receivable,334007.18,0.0,AR-2023-0013,
2023-01-18,4000,Revenue – Modern Trade,0.0,334007.18,AR-2023-0013,
2023-01-18,1100,Accounts Receivable,269279.95,0.0,AR-2023-0017,
2023-01-18,4000,Revenue – Modern Trade,0.0,269279.95,AR-2023-0017,
2023-01-18,1100,Accounts Receivable,213240.62,0.0,AR-2023-0028,
2023-01-18,4000,Revenue – Modern Trade,0.0,213240.62,AR-2023-0028,
2023-01-18,1100,Accounts Receivable,581830.86,0.0,AR-2023-0793,
2023-01-18,4030,Revenue – Catering,0.0,581830.86,AR-2023-0793,
2023-01-18,1100,Accounts Receivable,326038.82,0.0,AR-2023-0797,
2023-01-18,4030,Revenue – Catering,0.0,326038.82,AR-2023-0797,
2023-01-18,5010,COGS – Beverages,89324.81,0.0,INV-2023-0457,Antibiotics + analgesics — bulk SKUs
2023-01-18,2000,Accounts Payable,0.0,89324.81,INV-2023-0457,
2023-01-18,5010,COGS – Beverages,134912.75,0.0,INV-2023-0539,Bulk SKUs — monthly replenishment
2023-01-18,2000,Accounts Payable,0.0,134912.75,INV-2023-0539,
2023-01-18,5020,COGS – Household,81245.33,0.0,INV-2023-0614,
2023-01-18,2000,Accounts Payable,0.0,81245.33,INV-2023-0614,
2023-01-19,1000,Cash – SNB Operating SAR,405207.24,0.0,AR-2023-0514,Collection
2023-01-19,1100,Accounts Receivable,0.0,405207.24,AR-2023-0514,Collection
2023-01-19,1100,Accounts Receivable,1029806.39,0.0,AR-2023-0794,
2023-01-19,4030,Revenue – Catering,0.0,1029806.39,AR-2023-0794,
2023-01-19,5000,COGS – Food,99956.7,0.0,INV-2023-0117,Antibiotics + analgesics — bulk SKUs
2023-01-19,2000,Accounts Payable,0.0,99956.7,INV-2023-0117,
2023-01-19,5020,COGS – Household,72683.76,0.0,INV-2023-0660,OTC & consumer health replenishment
2023-01-19,2000,Accounts Payable,0.0,72683.76,INV-2023-0660,
2023-01-19,5030,COGS – Cosmetics,147456.97,0.0,INV-2023-0910,
2023-01-19,2000,Accounts Payable,0.0,147456.97,INV-2023-0910,
2023-01-19,6300,Logistics – 3PL,365859.04,0.0,INV-2023-0960,Line-haul & distribution services
2023-01-19,2000,Accounts Payable,0.0,365859.04,INV-2023-0960,
2023-01-19,6220,Professional Fees,47541.87,0.0,INV-2023-1142,
2023-01-19,2000,Accounts Payable,0.0,47541.87,INV-2023-1142,
2023-01-20,1100,Accounts Receivable,355177.6,0.0,AR-2023-0356,
2023-01-20,4010,Revenue – Hospitality,0.0,355177.6,AR-2023-0356,
2023-01-20,1100,Accounts Receivable,399723.05,0.0,AR-2023-0533,
2023-01-20,4020,Revenue – Government,0.0,399723.05,AR-2023-0533,
2023-01-20,1100,Accounts Receivable,710016.88,0.0,AR-2023-0775,
2023-01-20,4030,Revenue – Catering,0.0,710016.88,AR-2023-0775,
2023-01-20,1100,Accounts Receivable,135473.86,0.0,AR-2023-0786,
2023-01-20,4030,Revenue – Catering,0.0,135473.86,AR-2023-0786,
2023-01-20,5010,COGS – Beverages,160629.54,0.0,INV-2023-0472,Antibiotics + analgesics — bulk SKUs
2023-01-20,2000,Accounts Payable,0.0,160629.54,INV-2023-0472,
2023-01-20,6300,Logistics – 3PL,260123.28,0.0,INV-2023-1015,Line-haul & distribution services
2023-01-20,2000,Accounts Payable,0.0,260123.28,INV-2023-1015,
2023-01-21,1100,Accounts Receivable,531151.56,0.0,AR-2023-0018,
2023-01-21,4000,Revenue – Modern Trade,0.0,531151.56,AR-2023-0018,
2023-01-21,1100,Accounts Receivable,252445.07,0.0,AR-2023-0771,
2023-01-21,4030,Revenue – Catering,0.0,252445.07,AR-2023-0771,
2023-01-21,1100,Accounts Receivable,228234.53,0.0,AR-2023-0787,
2023-01-21,4030,Revenue – Catering,0.0,228234.53,AR-2023-0787,
2023-01-21,5030,COGS – Cosmetics,108605.46,0.0,INV-2023-0768,OTC & consumer health replenishment
2023-01-21,2000,Accounts Payable,0.0,108605.46,INV-2023-0768,
2023-01-21,2000,Accounts Payable,5410.65,0.0,INV-2023-1213,Payment
2023-01-21,1000,Cash – SNB Operating SAR,0.0,5410.65,INV-2023-1213,Payment
2023-01-22,1100,Accounts Receivable,710707.18,0.0,AR-2023-0022,
2023-01-22,4000,Revenue – Modern Trade,0.0,710707.18,AR-2023-0022,
2023-01-22,5010,COGS – Beverages,141857.03,0.0,INV-2023-0518,
2023-01-22,2000,Accounts Payable,0.0,141857.03,INV-2023-0518,
2023-01-22,5020,COGS – Household,125799.99,0.0,INV-2023-0717,OTC & consumer health replenishment
2023-01-22,2000,Accounts Payable,0.0,125799.99,INV-2023-0717,
2023-01-22,5030,COGS – Cosmetics,149198.56,0.0,INV-2023-0879,
2023-01-22,2000,Accounts Payable,0.0,149198.56,INV-2023-0879,
2023-01-22,5100,Freight Inwards,30898.15,0.0,INV-2023-1188,
2023-01-22,2000,Accounts Payable,0.0,30898.15,INV-2023-1188,
2023-01-23,1100,Accounts Receivable,307589.78,0.0,AR-2023-0513,
2023-01-23,4020,Revenue – Government,0.0,307589.78,AR-2023-0513,
2023-01-23,1100,Accounts Receivable,1060724.6,0.0,AR-2023-0765,
2023-01-23,4030,Revenue – Catering,0.0,1060724.6,AR-2023-0765,
2023-01-23,1100,Accounts Receivable,263230.08,0.0,AR-2023-0772,
2023-01-23,4030,Revenue – Catering,0.0,263230.08,AR-2023-0772,
2023-01-23,1100,Accounts Receivable,801241.64,0.0,AR-2023-0774,
2023-01-23,4030,Revenue – Catering,0.0,801241.64,AR-2023-0774,
2023-01-23,1100,Accounts Receivable,246297.25,0.0,AR-2023-0792,
2023-01-23,4030,Revenue – Catering,0.0,246297.25,AR-2023-0792,
2023-01-23,1100,Accounts Receivable,475541.38,0.0,AR-2023-0802,
2023-01-23,4030,Revenue – Catering,0.0,475541.38,AR-2023-0802,
2023-01-23,2000,Accounts Payable,420721.65,0.0,INV-2023-0001,Payment
2023-01-23,1000,Cash – SNB Operating SAR,0.0,420721.65,INV-2023-0001,Payment
2023-01-23,5000,COGS – Food,71697.28,0.0,INV-2023-0129,OTC & consumer health replenishment
2023-01-23,2000,Accounts Payable,0.0,71697.28,INV-2023-0129,
2023-01-23,5010,COGS – Beverages,134004.79,0.0,INV-2023-0521,OTC & consumer health replenishment
2023-01-23,2000,Accounts Payable,0.0,134004.79,INV-2023-0521,
2023-01-23,5020,COGS – Household,167191.27,0.0,INV-2023-0654,
2023-01-23,2000,Accounts Payable,0.0,167191.27,INV-2023-0654,
2023-01-23,5020,COGS – Household,75767.04,0.0,INV-2023-0734,Bulk SKUs — monthly replenishment
2023-01-23,2000,Accounts Payable,0.0,75767.04,INV-2023-0734,
2023-01-23,2000,Accounts Payable,164371.13,0.0,INV-2023-0805,Payment
2023-01-23,1000,Cash – SNB Operating SAR,0.0,164371.13,INV-2023-0805,Payment
2023-01-23,5030,COGS – Cosmetics,155533.36,0.0,INV-2023-0877,Bulk SKUs — monthly replenishment
2023-01-23,2000,Accounts Payable,0.0,155533.36,INV-2023-0877,
2023-01-23,6300,Logistics – 3PL,167068.62,0.0,INV-2023-1017,Line-haul & distribution services
2023-01-23,2000,Accounts Payable,0.0,167068.62,INV-2023-1017,
2023-01-24,1100,Accounts Receivable,673313.39,0.0,AR-2023-0020,
2023-01-24,4000,Revenue – Modern Trade,0.0,673313.39,AR-2023-0020,
2023-01-24,1100,Accounts Receivable,186083.96,0.0,AR-2023-0023,
2023-01-24,4000,Revenue – Modern Trade,0.0,186083.96,AR-2023-0023,
2023-01-24,1100,Accounts Receivable,150458.78,0.0,AR-2023-0367,
2023-01-24,4010,Revenue – Hospitality,0.0,150458.78,AR-2023-0367,
2023-01-24,1100,Accounts Receivable,306654.49,0.0,AR-2023-0517,
2023-01-24,4020,Revenue – Government,0.0,306654.49,AR-2023-0517,
2023-01-24,1100,Accounts Receivable,143736.85,0.0,AR-2023-0530,
2023-01-24,4020,Revenue – Government,0.0,143736.85,AR-2023-0530,
2023-01-24,1100,Accounts Receivable,245638.97,0.0,AR-2023-0801,
2023-01-24,4030,Revenue – Catering,0.0,245638.97,AR-2023-0801,
2023-01-24,1100,Accounts Receivable,94841.38,0.0,AR-2023-0805,
2023-01-24,4030,Revenue – Catering,0.0,94841.38,AR-2023-0805,
2023-01-24,2000,Accounts Payable,114646.02,0.0,INV-2023-0102,Payment
2023-01-24,1000,Cash – SNB Operating SAR,0.0,114646.02,INV-2023-0102,Payment
2023-01-24,5020,COGS – Household,129500.14,0.0,INV-2023-0616,
2023-01-24,2000,Accounts Payable,0.0,129500.14,INV-2023-0616,
2023-01-24,5020,COGS – Household,126913.48,0.0,INV-2023-0751,Antibiotics + analgesics — bulk SKUs
2023-01-24,2000,Accounts Payable,0.0,126913.48,INV-2023-0751,
2023-01-24,1020,Cash – ANB Payroll SAR,3513498.44,0.0,JE-20230101,Transfer SNB -> ANB payroll funding
2023-01-24,1000,Cash – SNB Operating SAR,0.0,3513498.44,JE-20230101,Transfer SNB -> ANB payroll funding
2023-01-25,1100,Accounts Receivable,848092.2,0.0,AR-2023-0007,
2023-01-25,4000,Revenue – Modern Trade,0.0,848092.2,AR-2023-0007,
