Month,Account,Account_Description,Cost_Center,Cost_Center_Name,Amount_SAR,Note
2025-03,6200,Marketing & Advertising,CC-000,UNALLOCATED,4411.37,
2025-03,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),21395.13,
2025-03,6200,Marketing & Advertising,CC-310,Sales — Institutional,35658.55,
2025-03,6200,Marketing & Advertising,CC-320,Sales — Retail channels,85580.53,
2025-03,6220,Professional Fees,CC-000,UNALLOCATED,6362.39,
2025-03,6220,Professional Fees,CC-100,HQ & Admin (Olaya),30857.61,
2025-03,6220,Professional Fees,CC-310,Sales — Institutional,51429.34,
2025-03,6220,Professional Fees,CC-320,Sales — Retail channels,123430.43,
2025-03,6300,Logistics – 3PL,CC-000,UNALLOCATED,60346.0,
2025-03,6300,Logistics – 3PL,CC-210,Riyadh North DC,780474.93,
2025-03,6300,Logistics – 3PL,CC-220,Riyadh South DC,546332.45,
2025-03,6300,Logistics – 3PL,CC-230,Qassim WH,351213.72,
2025-03,6300,Logistics – 3PL,CC-240,Hail WH,273166.22,
2025-03,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-03,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-03,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-03,6700,Insurance Expense,CC-000,UNALLOCATED,5100.0,
2025-03,6700,Insurance Expense,CC-100,HQ & Admin (Olaya),115430.0,
2025-03,6700,Insurance Expense,CC-410,Finance Shared Services,49470.0,
2025-04,5000,COGS – Food,CC-000,UNALLOCATED,90671.57,
2025-04,5000,COGS – Food,CC-210,Riyadh North DC,1114051.38,
2025-04,5000,COGS – Food,CC-220,Riyadh South DC,879514.24,
2025-04,5000,COGS – Food,CC-230,Qassim WH,527708.55,
2025-04,5000,COGS – Food,CC-240,Hail WH,410439.98,
2025-04,5010,COGS – Beverages,CC-000,UNALLOCATED,109011.49,
2025-04,5010,COGS – Beverages,CC-210,Riyadh North DC,1339387.8,
2025-04,5010,COGS – Beverages,CC-220,Riyadh South DC,1057411.42,
2025-04,5010,COGS – Beverages,CC-230,Qassim WH,634446.85,
2025-04,5010,COGS – Beverages,CC-240,Hail WH,493458.67,
2025-04,5020,COGS – Household,CC-000,UNALLOCATED,102033.19,
2025-04,5020,COGS – Household,CC-210,Riyadh North DC,1253647.78,
2025-04,5020,COGS – Household,CC-220,Riyadh South DC,989721.93,
2025-04,5020,COGS – Household,CC-230,Qassim WH,593833.16,
2025-04,5020,COGS – Household,CC-240,Hail WH,461870.23,
2025-04,5030,COGS – Cosmetics,CC-000,UNALLOCATED,82393.36,
2025-04,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1012339.73,
2025-04,5030,COGS – Cosmetics,CC-220,Riyadh South DC,799215.58,
2025-04,5030,COGS – Cosmetics,CC-230,Qassim WH,479529.35,
2025-04,5030,COGS – Cosmetics,CC-240,Hail WH,372967.27,
2025-04,5100,Freight Inwards,CC-000,UNALLOCATED,3266.34,
2025-04,5100,Freight Inwards,CC-210,Riyadh North DC,40132.39,
2025-04,5100,Freight Inwards,CC-220,Riyadh South DC,31683.46,
2025-04,5100,Freight Inwards,CC-230,Qassim WH,19010.08,
2025-04,5100,Freight Inwards,CC-240,Hail WH,14785.61,
2025-04,6000,Salaries & Wages,,,523146.96,
2025-04,6000,Salaries & Wages,CC-000,UNALLOCATED,115570.02,
2025-04,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),373676.4,
2025-04,6000,Salaries & Wages,CC-210,Riyadh North DC,822088.09,
2025-04,6000,Salaries & Wages,CC-220,Riyadh South DC,672617.53,
2025-04,6000,Salaries & Wages,CC-230,Qassim WH,373676.4,
2025-04,6000,Salaries & Wages,CC-240,Hail WH,298941.12,
2025-04,6000,Salaries & Wages,CC-320,Sales — Retail channels,448411.68,
2025-04,6000,Salaries & Wages,CC-410,Finance Shared Services,224205.85,
2025-04,6020,GOSI Contributions,CC-000,UNALLOCATED,11788.14,
2025-04,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),38114.99,
2025-04,6020,GOSI Contributions,CC-210,Riyadh North DC,83852.98,
2025-04,6020,GOSI Contributions,CC-220,Riyadh South DC,68606.99,
2025-04,6020,GOSI Contributions,CC-230,Qassim WH,38114.99,
2025-04,6020,GOSI Contributions,CC-240,Hail WH,30491.99,
2025-04,6020,GOSI Contributions,CC-310,Sales — Institutional,53360.99,
2025-04,6020,GOSI Contributions,CC-320,Sales — Retail channels,45737.99,
2025-04,6020,GOSI Contributions,CC-410,Finance Shared Services,22869.01,
2025-04,6100,Rent Expense,CC-000,UNALLOCATED,104537.11,
2025-04,6100,Rent Expense,CC-100,HQ & Admin (Olaya),608405.98,
2025-04,6100,Rent Expense,CC-210,Riyadh North DC,1014009.96,
2025-04,6100,Rent Expense,CC-220,Riyadh South DC,878808.63,
2025-04,6100,Rent Expense,CC-230,Qassim WH,473204.65,
2025-04,6100,Rent Expense,CC-240,Hail WH,405603.98,
2025-04,6110,Utilities,CC-000,UNALLOCATED,90306.0,
2025-04,6110,Utilities,CC-100,HQ & Admin (Olaya),291989.38,
2025-04,6110,Utilities,CC-210,Riyadh North DC,700774.53,
2025-04,6110,Utilities,CC-220,Riyadh South DC,583978.78,
2025-04,6110,Utilities,CC-230,Qassim WH,875968.17,
2025-04,6110,Utilities,CC-240,Hail WH,467183.02,
2025-04,6200,Marketing & Advertising,CC-000,UNALLOCATED,3974.84,
2025-04,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),19277.98,
2025-04,6200,Marketing & Advertising,CC-310,Sales — Institutional,32129.97,
2025-04,6200,Marketing & Advertising,CC-320,Sales — Retail channels,77111.92,
2025-04,6220,Professional Fees,CC-000,UNALLOCATED,12510.02,
2025-04,6220,Professional Fees,CC-100,HQ & Admin (Olaya),60673.58,
2025-04,6220,Professional Fees,CC-310,Sales — Institutional,101122.62,
2025-04,6220,Professional Fees,CC-320,Sales — Retail channels,242694.29,
2025-04,6300,Logistics – 3PL,CC-000,UNALLOCATED,95431.07,
2025-04,6300,Logistics – 3PL,CC-210,Riyadh North DC,1234241.86,
2025-04,6300,Logistics – 3PL,CC-220,Riyadh South DC,863969.3,
2025-04,6300,Logistics – 3PL,CC-230,Qassim WH,555408.83,
2025-04,6300,Logistics – 3PL,CC-240,Hail WH,431984.65,
2025-04,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-04,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-04,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-05,5000,COGS – Food,CC-000,UNALLOCATED,76335.97,
2025-05,5000,COGS – Food,CC-210,Riyadh North DC,937914.64,
2025-05,5000,COGS – Food,CC-220,Riyadh South DC,740458.93,
2025-05,5000,COGS – Food,CC-230,Qassim WH,444275.36,
2025-05,5000,COGS – Food,CC-240,Hail WH,345547.5,
2025-05,5010,COGS – Beverages,CC-000,UNALLOCATED,117917.88,
2025-05,5010,COGS – Beverages,CC-210,Riyadh North DC,1448817.67,
2025-05,5010,COGS – Beverages,CC-220,Riyadh South DC,1143803.43,
2025-05,5010,COGS – Beverages,CC-230,Qassim WH,686282.06,
2025-05,5010,COGS – Beverages,CC-240,Hail WH,533774.93,
2025-05,5020,COGS – Household,CC-000,UNALLOCATED,91272.17,
2025-05,5020,COGS – Household,CC-210,Riyadh North DC,1121430.72,
2025-05,5020,COGS – Household,CC-220,Riyadh South DC,885340.04,
2025-05,5020,COGS – Household,CC-230,Qassim WH,531204.02,
2025-05,5020,COGS – Household,CC-240,Hail WH,413158.68,
2025-05,5030,COGS – Cosmetics,CC-000,UNALLOCATED,92997.65,
2025-05,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1142631.11,
2025-05,5030,COGS – Cosmetics,CC-220,Riyadh South DC,902077.19,
2025-05,5030,COGS – Cosmetics,CC-230,Qassim WH,541246.31,
2025-05,5030,COGS – Cosmetics,CC-240,Hail WH,420969.36,
2025-05,5100,Freight Inwards,CC-000,UNALLOCATED,2817.4,
2025-05,5100,Freight Inwards,CC-210,Riyadh North DC,34616.41,
2025-05,5100,Freight Inwards,CC-220,Riyadh South DC,27328.74,
2025-05,5100,Freight Inwards,CC-230,Qassim WH,16397.24,
2025-05,5100,Freight Inwards,CC-240,Hail WH,12753.41,
2025-05,6000,Salaries & Wages,CC-000,UNALLOCATED,115994.49,
2025-05,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),375048.86,
2025-05,6000,Salaries & Wages,CC-210,Riyadh North DC,825107.49,
2025-05,6000,Salaries & Wages,CC-220,Riyadh South DC,675087.95,
2025-05,6000,Salaries & Wages,CC-230,Qassim WH,375048.86,
2025-05,6000,Salaries & Wages,CC-240,Hail WH,300039.09,
2025-05,6000,Salaries & Wages,CC-310,Sales — Institutional,525068.4,
2025-05,6000,Salaries & Wages,CC-320,Sales — Retail channels,450058.63,
2025-05,6000,Salaries & Wages,CC-410,Finance Shared Services,225029.32,
2025-05,6020,GOSI Contributions,,,84160.97,
2025-05,6020,GOSI Contributions,CC-000,UNALLOCATED,11831.44,
2025-05,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),38254.98,
2025-05,6020,GOSI Contributions,CC-220,Riyadh South DC,68858.97,
2025-05,6020,GOSI Contributions,CC-230,Qassim WH,38254.98,
2025-05,6020,GOSI Contributions,CC-240,Hail WH,30603.99,
2025-05,6020,GOSI Contributions,CC-310,Sales — Institutional,53556.98,
2025-05,6020,GOSI Contributions,CC-320,Sales — Retail channels,45905.98,
2025-05,6020,GOSI Contributions,CC-410,Finance Shared Services,22952.99,
2025-05,6100,Rent Expense,CC-000,UNALLOCATED,113541.29,
2025-05,6100,Rent Expense,CC-100,HQ & Admin (Olaya),660810.28,
2025-05,6100,Rent Expense,CC-210,Riyadh North DC,1101350.49,
2025-05,6100,Rent Expense,CC-220,Riyadh South DC,954503.76,
2025-05,6100,Rent Expense,CC-230,Qassim WH,513963.56,
2025-05,6100,Rent Expense,CC-240,Hail WH,440540.2,
2025-05,6110,Utilities,CC-000,UNALLOCATED,92518.74,
2025-05,6110,Utilities,CC-100,HQ & Admin (Olaya),299143.91,
2025-05,6110,Utilities,CC-210,Riyadh North DC,717945.41,
2025-05,6110,Utilities,CC-220,Riyadh South DC,598287.84,
2025-05,6110,Utilities,CC-230,Qassim WH,897431.76,
2025-05,6110,Utilities,CC-240,Hail WH,478630.27,
2025-05,6200,Marketing & Advertising,CC-000,UNALLOCATED,1269.24,
2025-05,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),6155.83,
2025-05,6200,Marketing & Advertising,CC-310,Sales — Institutional,10259.7,
2025-05,6200,Marketing & Advertising,CC-320,Sales — Retail channels,24623.29,
2025-05,6220,Professional Fees,CC-000,UNALLOCATED,11917.44,
2025-05,6220,Professional Fees,CC-100,HQ & Admin (Olaya),57799.58,
2025-05,6220,Professional Fees,CC-310,Sales — Institutional,96332.64,
2025-05,6220,Professional Fees,CC-320,Sales — Retail channels,231198.32,
2025-05,6300,Logistics – 3PL,CC-000,UNALLOCATED,131748.97,
2025-05,6300,Logistics – 3PL,CC-210,Riyadh North DC,1703953.4,
2025-05,6300,Logistics – 3PL,CC-220,Riyadh South DC,1192767.38,
2025-05,6300,Logistics – 3PL,CC-230,Qassim WH,766779.03,
2025-05,6300,Logistics – 3PL,CC-240,Hail WH,596383.7,
2025-05,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-05,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-05,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-06,5000,COGS – Food,CC-000,UNALLOCATED,85100.35,
2025-06,5000,COGS – Food,CC-210,Riyadh North DC,1045599.6,
2025-06,5000,COGS – Food,CC-220,Riyadh South DC,825473.36,
2025-06,5000,COGS – Food,CC-230,Qassim WH,495284.02,
2025-06,5000,COGS – Food,CC-240,Hail WH,385220.9,
2025-06,5010,COGS – Beverages,CC-000,UNALLOCATED,125910.58,
2025-06,5010,COGS – Beverages,CC-210,Riyadh North DC,1547021.31,
2025-06,5010,COGS – Beverages,CC-220,Riyadh South DC,1221332.62,
2025-06,5010,COGS – Beverages,CC-230,Qassim WH,732799.57,
2025-06,5010,COGS – Beverages,CC-240,Hail WH,569955.22,
2025-06,5020,COGS – Household,CC-000,UNALLOCATED,97476.15,
2025-06,5020,COGS – Household,CC-210,Riyadh North DC,1197656.93,
2025-06,5020,COGS – Household,CC-220,Riyadh South DC,945518.63,
2025-06,5020,COGS – Household,CC-230,Qassim WH,567311.18,
2025-06,5020,COGS – Household,CC-240,Hail WH,441242.02,
2025-06,5030,COGS – Cosmetics,CC-000,UNALLOCATED,80776.73,
2025-06,5030,COGS – Cosmetics,CC-210,Riyadh North DC,992476.72,
2025-06,5030,COGS – Cosmetics,CC-220,Riyadh South DC,783534.25,
2025-06,5030,COGS – Cosmetics,CC-230,Qassim WH,470120.55,
2025-06,5030,COGS – Cosmetics,CC-240,Hail WH,365649.31,
2025-06,6000,Salaries & Wages,CC-000,UNALLOCATED,118036.03,
2025-06,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),381649.85,
2025-06,6000,Salaries & Wages,CC-210,Riyadh North DC,839629.66,
2025-06,6000,Salaries & Wages,CC-220,Riyadh South DC,686969.72,
2025-06,6000,Salaries & Wages,CC-230,Qassim WH,381649.85,
2025-06,6000,Salaries & Wages,CC-240,Hail WH,305319.88,
2025-06,6000,Salaries & Wages,CC-310,Sales — Institutional,534309.78,
2025-06,6000,Salaries & Wages,CC-320,Sales — Retail channels,457979.81,
2025-06,6000,Salaries & Wages,CC-410,Finance Shared Services,228989.91,
2025-06,6020,GOSI Contributions,CC-000,UNALLOCATED,12039.68,
2025-06,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),38928.28,
2025-06,6020,GOSI Contributions,CC-210,Riyadh North DC,85642.23,
