GRN_ID,PO_ID,Vendor_ID,Vendor_Name,SKU,PO_Qty,Received_Qty,Receipt_Date,Match_Status
GRN-2026-5060,PO-2026-0394,V-1145,Diyar Marketing Ltd,FG-1021,800,800,26/01/2026,Matched (3-way)
GRN-2026-5061,PO-2026-0070,V-1103,Maghrib Dairy Trading LLC,BV-2008,200,200,2026-01-23,Matched (3-way)
GRN-2026-5062,PO-2026-0145,V-1030,Bayt Foods Company,FG-1017,1000,1000,2026-02-10,Matched (3-way)
GRN-2026-5063,PO-2026-0217,V-1008,Levant Hygiene Ltd,CM-4016,1000,1000,26/01/2026,Matched (3-way)
GRN-2026-5064,PO-2026-0540,V-1163,Tabuk Group Company,FG-1026,500,500,2026-02-03,Matched (3-way)
GRN-2026-5065,PO-2026-0001,V-1101,Levant Cleaning Trading LLC,BV-2010,4000,3915,2026-02-13,Short receipt — match exception
GRN-2026-5066,PO-2026-0057,V-1194,Watani Manufacturing Ltd,HH-3006,500,500,2026-02-07,Matched (3-way)
GRN-2026-5067,PO-2026-0102,V-1106,Oasis Manufacturing Co,CM-4019,2000,2000,2026-02-03,Matched (3-way)
GRN-2026-5068,PO-2026-0207,V-1041,Sahara Distribution Ltd,BV-2023,100,100,2026-02-03,Matched (3-way)
GRN-2026-5069,PO-2026-0270,V-1053,Sahara Co Company,CM-4011,500,500,2026-01-28,Matched (3-way)
GRN-2026-5070,PO-2026-0511,V-1091,Falcon Distribution Trading LLC,HH-3004,800,800,2026-02-05,Matched (3-way)
GRN-2026-5071,PO-2026-0543,V-1079,Ibn Sina Materials Trading Ltd,FG-1009,1500,1500,2026-02-08,Matched (3-way)
GRN-2026-5072,PO-2026-0015,V-1107,Faridi Marketing Trading LLC,HH-3023,3000,3000,2026-01-24,Matched (3-way)
GRN-2026-5073,PO-2026-0378,V-1068,Diyar Imports Group,CM-4004,1500,1500,2026-02-14,Matched (3-way)
GRN-2026-5074,PO-2026-0530,V-1172,Amwaj Commercial Company,HH-3001,2000,2000,2026-01-27,Matched (3-way)
GRN-2026-5075,PO-2026-0020,V-1082,Sulaiman Enterprises Group,BV-2022,500,500,2026-02-11,Matched (3-way)
GRN-2026-5076,PO-2026-0146,V-1061,Al-Rajhi Marketing LLC,CM-4017,500,500,27/01/2026,Matched (3-way)
GRN-2026-5077,PO-2026-0158,V-1141,Mada Industries Co,HH-3018,1500,1500,2026-01-26,Matched (3-way)
GRN-2026-5078,PO-2026-0159,V-1010,Rashid Materials Trading Group,HH-3009,500,500,2026-01-25,Matched (3-way)
GRN-2026-5079,PO-2026-0188,V-1151,Lamar Commercial Ltd,BV-2004,2000,2000,2026-02-08,Matched (3-way)
GRN-2026-5080,PO-2026-0290,V-1205,Al-Faisal Confectionery Co LLC,FG-1005,800,800,2026-02-12,Matched (3-way)
GRN-2026-5081,PO-2026-0360,V-1045,Tatweer Commercial LLC,BV-2001,3000,3000,2026-01-27,Matched (3-way)
GRN-2026-5082,PO-2026-0129,V-1038,Sahara Trading Co LLC,FG-1019,1500,1500,2026-02-12,Matched (3-way)
GRN-2026-5083,PO-2026-0175,V-1096,Oasis Exports Trading LLC,CM-4009,3000,3000,2026-02-15,Matched (3-way)
GRN-2026-5084,PO-2026-0197,V-1140,Falcon Cosmetics LLC,CM-4013,3000,3000,2026-02-08,Matched (3-way)
GRN-2026-5085,PO-2026-0210,V-1195,Asir Trading LLC,FG-1029,1500,1500,2026-01-30,Matched (3-way)
GRN-2026-5086,PO-2026-0385,V-1126,Quick Wholesale LLC,BV-2021,200,200,2026-02-16,Matched (3-way)
GRN-2026-5087,PO-2026-0152,V-1029,Olaya Hygiene LLC,BV-2004,500,500,2026-01-31,Matched (3-way)
GRN-2026-5088,PO-2026-0375,V-1062,Riyadh Co Ltd,CM-4004,1000,1000,2026-02-02,Matched (3-way)
GRN-2026-5089,PO-2026-0047,V-1079,Ibn Sina Materials Trading Ltd,FG-1027,1500,1500,2026-02-03,Matched (3-way)
GRN-2026-5090,PO-2026-0110,V-1204,Misr Confectionery Ltd,HH-3019,2000,2000,2026-02-09,Matched (3-way)
GRN-2026-5091,PO-2026-0147,V-1063,Bin Laden Snacks Co LLC,HH-3022,3000,3000,2026-01-31,Matched (3-way)
GRN-2026-5092,PO-2026-0169,V-1049,Mediterranean Wines & Spirits Trading LLC,BV-2005,1500,1500,2026-01-29,Matched (3-way)
GRN-2026-5093,PO-2026-0392,V-1004,Bayt Supply Chain LLC,HH-3018,800,734,2026-02-02,Short receipt — match exception
GRN-2026-5094,PO-2026-0413,V-1052,Tigris Exports Group,FG-1022,200,200,2026-02-07,Matched (3-way)
GRN-2026-5095,PO-2026-0187,V-1025,Oasis Solutions Trading LLC,FG-1028,4000,4000,2026-02-01,Matched (3-way)
GRN-2026-5096,PO-2026-0307,V-1046,Maghrib Industries Co,BV-2019,3000,3209,2026-02-22,Qty over-receipt — match exception
GRN-2026-5097,PO-2026-0544,V-1010,Rashid Materials Trading Group,FG-1002,1500,1500,2026-02-08,Matched (3-way)
GRN-2026-5098,PO-2026-0011,V-1057,Zahra Industries Group,BV-2020,2000,2000,2026-02-14,Matched (3-way)
GRN-2026-5099,PO-2026-0208,V-1013,Levant Co Ltd,FG-1009,100,100,2026-02-13,Matched (3-way)
GRN-2026-5100,PO-2026-0214,V-1010,Rashid Materials Trading Group,BV-2012,100,100,2026-02-18,Matched (3-way)
GRN-2026-5101,PO-2026-0149,V-1115,Watani Snacks Group,FG-1025,500,500,2026-02-22,Matched (3-way)
GRN-2026-5102,PO-2026-0151,V-1150,Oasis Enterprises Ltd,FG-1016,100,100,2026-02-11,Matched (3-way)
GRN-2026-5103,PO-2026-0331,V-1186,Sulaiman Group Co LLC,FG-1025,100,100,2026-02-18,Matched (3-way)
GRN-2026-5104,PO-2026-0068,V-1094,Arabian Wholesale Co LLC,HH-3001,100,100,2026-02-24,Matched (3-way)
GRN-2026-5105,PO-2026-0131,V-1113,Al-Faisal Beverages LLC,FG-1029,3000,3000,2026-02-25,Matched (3-way)
GRN-2026-5106,PO-2026-0274,V-1066,Al-Faisal Confectionery Ltd,BV-2020,5000,5000,2026-02-15,Matched (3-way)
GRN-2026-5107,PO-2026-0295,V-1116,Solo Foods Ltd,BV-2003,800,800,2026-02-18,Matched (3-way)
GRN-2026-5108,PO-2026-0327,V-1192,Asir Co Ltd,BV-2017,1000,1000,2026-02-03,Matched (3-way)
GRN-2026-5109,PO-2026-0405,V-1185,Mada Packaging Company,HH-3017,200,200,2026-02-20,Matched (3-way)
GRN-2026-5110,PO-2026-0466,V-1117,Tigris Industries Trading LLC,BV-2022,500,500,2026-02-16,Matched (3-way)
GRN-2026-5111,PO-2026-0488,V-1016,Najd Confectionery Co,FG-1007,1000,1000,2026-02-07,Matched (3-way)
GRN-2026-5112,PO-2026-0120,V-1191,Tigris Foodstuff Ltd,BV-2004,100,100,08/02/2026,Matched (3-way)
GRN-2026-5113,PO-2026-0342,V-1102,Quick Supply Chain Company,FG-1013,5000,5000,2026-02-11,Matched (3-way)
GRN-2026-5114,PO-2026-0368,V-1112,Watani Solutions Company,BV-2015,1500,1500,09/02/2026,Matched (3-way)
GRN-2026-5115,PO-2026-0016,V-1195,Asir Trading LLC,CM-4009,500,500,2026-02-08,Matched (3-way)
GRN-2026-5116,PO-2026-0062,V-1177,Lamar Enterprises Group,BV-2014,100,100,2026-02-11,Matched (3-way)
GRN-2026-5117,PO-2026-0111,V-1095,Tihama Wines & Spirits LLC,FG-1008,2000,2000,2026-02-21,Matched (3-way)
GRN-2026-5118,PO-2026-0479,V-1111,Mada Materials Trading Ltd,FG-1011,2000,1978,2026-02-16,Short receipt — match exception
GRN-2026-5119,PO-2026-0258,V-1120,Premier International Group,BV-2023,2000,2000,2026-02-12,Matched (3-way)
GRN-2026-5120,PO-2026-0496,V-1191,Tigris Foodstuff Ltd,FG-1002,200,200,2026-02-15,Matched (3-way)
GRN-2026-5121,PO-2026-0592,V-1177,Lamar Enterprises Group,CM-4014,5000,5000,2026-02-27,Matched (3-way)
GRN-2026-5122,PO-2026-0165,V-1204,Misr Confectionery Ltd,FG-1024,100,100,2026-02-22,Matched (3-way)
GRN-2026-5123,PO-2026-0478,V-1014,Al-Faisal Exports Co,CM-4011,2000,2000,2026-02-13,Matched (3-way)
GRN-2026-5124,PO-2026-0077,V-1042,Arabian Materials Trading Co LLC,HH-3017,100,100,2026-02-13,Matched (3-way)
GRN-2026-5125,PO-2026-0164,V-1099,Tabuk Distribution Trading LLC,FG-1003,2000,2000,2026-02-25,Matched (3-way)
GRN-2026-5126,PO-2026-0504,V-1071,Sulaiman Cleaning Group,BV-2015,1500,1500,2026-02-21,Matched (3-way)
GRN-2026-5127,PO-2026-0148,V-1060,Arkan Services Co,FG-1002,2000,2000,2026-02-16,Matched (3-way)
GRN-2026-5128,PO-2026-0209,V-1204,Misr Confectionery Ltd,HH-3005,3000,2719,2026-02-28,Short receipt — match exception
GRN-2026-5129,PO-2026-0389,V-1082,Sulaiman Enterprises Group,FG-1004,500,500,17/02/2026,Matched (3-way)
GRN-2026-5130,PO-2026-0432,V-1029,Olaya Hygiene LLC,BV-2004,1000,1000,2026-02-11,Matched (3-way)
GRN-2026-5131,PO-2026-0593,V-1189,Najd Foods Co,CM-4007,1000,1000,2026-02-21,Matched (3-way)
GRN-2026-5132,PO-2026-0059,V-1095,Tihama Wines & Spirits LLC,CM-4018,1500,1587,19/02/2026,Qty over-receipt — match exception
GRN-2026-5133,PO-2026-0320,V-1109,Al-Faisal Foods Ltd,FG-1004,1500,1500,2026-02-15,Matched (3-way)
GRN-2026-5134,PO-2026-0347,V-1010,Rashid Materials Trading Group,HH-3019,500,500,2026-02-13,Matched (3-way)
GRN-2026-5135,PO-2026-0355,V-1028,Rashid Trading Co LLC,BV-2009,1500,1500,2026-02-14,Matched (3-way)
GRN-2026-5136,PO-2026-0369,V-1034,Madinah Foods Co LLC,FG-1023,1500,1542,2026-02-13,Qty over-receipt — match exception
GRN-2026-5137,PO-2026-0424,V-1090,Faridi Marketing Company,FG-1010,3000,3000,13/02/2026,Matched (3-way)
GRN-2026-5138,PO-2026-0004,V-1101,Levant Cleaning Trading LLC,BV-2006,1000,1000,2026-02-24,Matched (3-way)
GRN-2026-5139,PO-2026-0065,V-1044,Euphrates Foodstuff Group,HH-3018,4000,3610,2026-02-26,Short receipt — match exception
GRN-2026-5140,PO-2026-0312,V-1169,Sahara Confectionery Group,HH-3015,5000,5000,2026-02-23,Matched (3-way)
GRN-2026-5141,PO-2026-0345,V-1080,Oasis Commercial Trading LLC,CM-4014,5000,5000,2026-03-01,Matched (3-way)
GRN-2026-5142,PO-2026-0132,V-1002,Arabian Foods Co LLC,HH-3009,200,200,2026-02-28,Matched (3-way)
GRN-2026-5143,PO-2026-0179,V-1134,Dammam Holdings LLC,HH-3022,500,500,2026-02-24,Matched (3-way)
GRN-2026-5144,PO-2026-0349,V-1032,Tigris Snacks Group,CM-4008,1000,1000,2026-02-28,Matched (3-way)
GRN-2026-5145,PO-2026-0507,V-1091,Falcon Distribution Trading LLC,BV-2023,1500,1500,2026-03-09,Matched (3-way)
GRN-2026-5146,PO-2026-0010,V-1042,Arabian Materials Trading Co LLC,BV-2002,2000,2000,05/03/2026,Matched (3-way)
GRN-2026-5147,PO-2026-0036,V-1056,Bayt Beverages Co,BV-2015,3000,3000,2026-02-18,Matched (3-way)
GRN-2026-5148,PO-2026-0071,V-1046,Maghrib Industries Co,BV-2008,100,100,2026-02-15,Matched (3-way)
GRN-2026-5149,PO-2026-0074,V-1008,Levant Hygiene Ltd,HH-3009,3000,3000,2026-03-10,Matched (3-way)
GRN-2026-5150,PO-2026-0080,V-1080,Oasis Commercial Trading LLC,FG-1028,4000,4000,2026-03-04,Matched (3-way)
GRN-2026-5151,PO-2026-0085,V-1042,Arabian Materials Trading Co LLC,FG-1024,4000,4000,2026-03-04,Matched (3-way)
GRN-2026-5152,PO-2026-0113,V-1150,Oasis Enterprises Ltd,CM-4006,200,200,2026-03-02,Matched (3-way)
GRN-2026-5153,PO-2026-0127,V-1020,Al-Rajhi Packaging Ltd,BV-2015,100,100,2026-02-26,Matched (3-way)
GRN-2026-5154,PO-2026-0168,V-1097,Kayan Hygiene Ltd,FG-1003,2000,2000,2026-02-27,Matched (3-way)
GRN-2026-5155,PO-2026-0359,V-1107,Faridi Marketing Trading LLC,CM-4001,1500,1500,2026-03-11,Matched (3-way)
GRN-2026-5156,PO-2026-0559,V-1063,Bin Laden Snacks Co LLC,HH-3024,800,800,2026-02-28,Matched (3-way)
GRN-2026-5157,PO-2026-0115,V-1030,Bayt Foods Company,HH-3018,500,500,2026-02-23,Matched (3-way)
GRN-2026-5158,PO-2026-0200,V-1072,Lamar Hygiene Trading LLC,FG-1015,100,100,2026-03-10,Matched (3-way)
GRN-2026-5159,PO-2026-0019,V-1114,Al-Rajhi Materials Trading Ltd,FG-1029,100,95,2026-03-09,Short receipt — match exception
GRN-2026-5160,PO-2026-0547,V-1116,Solo Foods Ltd,BV-2012,1000,1069,2026-03-05,Qty over-receipt — match exception
GRN-2026-5161,PO-2026-0141,V-1031,Noor Snacks Ltd,FG-1008,500,500,2026-03-11,Matched (3-way)
GRN-2026-5162,PO-2026-0353,V-1177,Lamar Enterprises Group,HH-3012,500,500,2026-02-28,Matched (3-way)
GRN-2026-5163,PO-2026-0581,V-1116,Solo Foods Ltd,FG-1003,800,800,14/03/2026,Matched (3-way)
GRN-2026-5164,PO-2026-0588,V-1135,Misr Imports Group,HH-3014,3000,2938,2026-03-08,Short receipt — match exception
GRN-2026-5165,PO-2026-0480,V-1127,Dar Marketing Group,CM-4007,2000,2000,2026-02-26,Matched (3-way)
GRN-2026-5166,PO-2026-0497,V-1067,Bordeaux Manufacturing Group,CM-4004,100,100,2026-02-21,Matched (3-way)
GRN-2026-5167,PO-2026-0550,V-1082,Sulaiman Enterprises Group,HH-3017,1000,1000,2026-02-26,Matched (3-way)
GRN-2026-5168,PO-2026-0066,V-1058,Desert Cleaning Co LLC,BV-2014,4000,4000,2026-03-15,Matched (3-way)
GRN-2026-5169,PO-2026-0107,V-1001,Faridi Cosmetics LLC,FG-1014,100,100,2026-03-06,Matched (3-way)
GRN-2026-5170,PO-2026-0281,V-1028,Rashid Trading Co LLC,HH-3018,1500,1500,2026-03-16,Matched (3-way)
GRN-2026-5171,PO-2026-0035,V-1174,Riyadh Holdings LLC,HH-3024,200,206,2026-03-16,Qty over-receipt — match exception
GRN-2026-5172,PO-2026-0172,V-1181,Gulf Hygiene Group,HH-3018,200,200,2026-03-17,Matched (3-way)
GRN-2026-5173,PO-2026-0305,V-1044,Euphrates Foodstuff Group,CM-4007,1000,1062,2026-02-25,Qty over-receipt — match exception
GRN-2026-5174,PO-2026-0013,V-1007,Tatweer Holdings Co,BV-2012,3000,3220,2026-03-05,Qty over-receipt — match exception
GRN-2026-5175,PO-2026-0028,V-1118,Diyar Foods LLC,FG-1029,4000,4000,2026-03-10,Matched (3-way)
GRN-2026-5176,PO-2026-0400,V-1022,Faridi Cleaning Trading LLC,HH-3012,500,500,2026-03-05,Matched (3-way)
GRN-2026-5177,PO-2026-0409,V-1065,Zahra Industries Company,BV-2002,500,500,2026-03-06,Matched (3-way)
GRN-2026-5178,PO-2026-0440,V-1456,Gulf BioPharma Co,FG-1026,200,200,2026-03-17,Matched (3-way)
GRN-2026-5179,PO-2026-0594,V-1032,Tigris Snacks Group,HH-3006,1000,984,2026-03-04,Short receipt — match exception
GRN-2026-5180,PO-2026-0018,V-1052,Tigris Exports Group,HH-3003,4000,3975,2026-03-06,Short receipt — match exception
GRN-2026-5181,PO-2026-0134,V-1083,Hijaz Holdings Co LLC,BV-2002,1000,1000,03/03/2026,Matched (3-way)
GRN-2026-5182,PO-2026-0285,V-1141,Mada Industries Co,CM-4010,3000,3000,2026-02-26,Matched (3-way)
GRN-2026-5183,PO-2026-0365,V-1076,Noor Marketing Ltd,HH-3008,500,500,2026-03-18,Matched (3-way)
GRN-2026-5184,PO-2026-0505,V-1200,Tihama Manufacturing Ltd,FG-1016,1500,1529,2026-03-13,Qty over-receipt — match exception
GRN-2026-5185,PO-2026-0138,V-1101,Levant Cleaning Trading LLC,HH-3002,1000,1000,2026-02-28,Matched (3-way)
GRN-2026-5186,PO-2026-0157,V-1129,Arkan Cleaning Trading LLC,FG-1010,200,200,2026-03-13,Matched (3-way)
GRN-2026-5187,PO-2026-0174,V-1178,Bayt Exports LLC,FG-1012,1000,1000,05/03/2026,Matched (3-way)
GRN-2026-5188,PO-2026-0397,V-1172,Amwaj Commercial Company,FG-1026,5000,5000,2026-02-26,Matched (3-way)
GRN-2026-5189,PO-2026-0443,V-1007,Tatweer Holdings Co,FG-1003,800,800,2026-03-10,Matched (3-way)
GRN-2026-5190,PO-2026-0144,V-1033,Al-Rajhi Foods Co,FG-1025,2000,2000,2026-03-09,Matched (3-way)
GRN-2026-5191,PO-2026-0155,V-1018,Jamal Trading Co LLC,HH-3007,3000,3000,2026-03-13,Matched (3-way)
GRN-2026-5192,PO-2026-0178,V-1149,Euphrates Marketing LLC,CM-4006,4000,4000,2026-03-11,Matched (3-way)
GRN-2026-5193,PO-2026-0468,V-1024,Al-Rajhi Confectionery Co,FG-1001,200,200,2026-03-11,Matched (3-way)
GRN-2026-5194,PO-2026-0549,V-1101,Levant Cleaning Trading LLC,FG-1016,1000,1000,2026-03-11,Matched (3-way)
GRN-2026-5195,PO-2026-0553,V-1023,Misr Pharma Products Co LLC,HH-3024,1000,1000,2026-03-03,Matched (3-way)
GRN-2026-5196,PO-2026-0555,V-1068,Diyar Imports Group,BV-2022,3000,3000,2026-03-19,Matched (3-way)
GRN-2026-5197,PO-2026-0586,V-1034,Madinah Foods Co LLC,CM-4012,1000,1000,2026-03-11,Matched (3-way)
GRN-2026-5198,PO-2026-0073,V-1097,Kayan Hygiene Ltd,CM-4009,500,494,2026-02-28,Short receipt — match exception
GRN-2026-5199,PO-2026-0161,V-1018,Jamal Trading Co LLC,CM-4019,200,200,23/03/2026,Matched (3-way)
GRN-2026-5200,PO-2026-0133,V-1040,Saudi Wines & Spirits Co LLC,BV-2013,3000,3000,2026-03-02,Matched (3-way)
GRN-2026-5201,PO-2026-0416,V-1125,Saudi Exports Ltd,HH-3013,2000,2000,07/03/2026,Matched (3-way)
GRN-2026-5202,PO-2026-0091,V-1047,Tihama Wines & Spirits Co,BV-2023,3000,3000,2026-03-08,Matched (3-way)
GRN-2026-5203,PO-2026-0123,V-1074,Euphrates Services Ltd,FG-1001,100,100,2026-03-18,Matched (3-way)
GRN-2026-5204,PO-2026-0154,V-1156,Ibn Sina Confectionery Group,BV-2015,100,100,2026-03-06,Matched (3-way)
GRN-2026-5205,PO-2026-0304,V-1151,Lamar Commercial Ltd,BV-2024,1000,1025,2026-03-03,Qty over-receipt — match exception
GRN-2026-5206,PO-2026-0003,V-1172,Amwaj Commercial Company,CM-4014,1000,1000,2026-03-08,Matched (3-way)
GRN-2026-5207,PO-2026-0014,V-1068,Diyar Imports Group,HH-3010,2000,2000,2026-03-16,Matched (3-way)
GRN-2026-5208,PO-2026-0053,V-1011,Dammam Distribution Co,BV-2003,2000,2000,2026-03-16,Matched (3-way)
GRN-2026-5209,PO-2026-0005,V-1075,Bordeaux Enterprises Ltd,FG-1021,500,500,2026-03-17,Matched (3-way)
GRN-2026-5210,PO-2026-0186,V-1205,Al-Faisal Confectionery Co LLC,BV-2012,500,500,2026-03-15,Matched (3-way)
GRN-2026-5211,PO-2026-0202,V-1013,Levant Co Ltd,HH-3007,100,100,2026-03-13,Matched (3-way)
GRN-2026-5212,PO-2026-0482,V-1456,Gulf BioPharma Co,CM-4012,2000,2000,2026-03-08,Matched (3-way)
GRN-2026-5213,PO-2026-0503,V-1068,Diyar Imports Group,HH-3013,5000,5000,2026-03-26,Matched (3-way)
GRN-2026-5214,PO-2026-0198,V-1184,Arkan Supply Chain Co LLC,HH-3015,1500,1500,2026-03-24,Matched (3-way)
